document,topic,gamma
"Aaron Gullickson, Florencia Torche; Patterns of Racial and Educational Assortative Mating in Brazil. Demography 1 June 2014; 51 (3): 835–856. doi: https://doi.org/10.1007/s13524-014-0300-2",1,0.6520894361494913
"Abigail Weitzman, Emily Smith-Greenaway; The Marital Implications of Bereavement: Child Death and Intimate Partner Violence in West and Central Africa. Demography 1 February 2020; 57 (1): 347–371. doi: https://doi.org/10.1007/s13524-019-00846-7",1,1.3922384913024905e-5
"Abigail Weitzman, Jennifer Barber, Yasamin Kusunoki; Sexual Concurrency and Contraceptive Use Among Young Adult Women. Demography 1 April 2019; 56 (2): 549–572. doi: https://doi.org/10.1007/s13524-019-00762-w",1,1.4002889845877107e-5
"Abigail Weitzman, Jennifer S. Barber, Justin Heinze, Marc Zimmerman; How Nearby Homicides Affect Young Women's Pregnancy Desires: Evidence From a Quasi-Experiment. Demography 1 June 2021; 58 (3): 927–950. doi: https://doi.org/10.1215/00703370-9160045",1,0.016269483697931943
Acton Jiashi Feng; Revisiting Horizontal Stratification in Higher Education: College Prestige Hierarchy and Educational Assortative Mating in China. Demography 1 February 2022; 59 (1): 349–369. doi: https://doi.org/10.1215/00703370-9656369,1,1.4525950059839308e-5
"Adeline Delavande, Hans-Peter Kohler; The Impact of HIV Testing on Subjective Expectations and Risky Behavior in Malawi. Demography 1 August 2012; 49 (3): 1011–1036. doi: https://doi.org/10.1007/s13524-012-0119-7",1,1.3468352313897263e-5
"Adeline Delavande, Jinkook Lee, Seetha Menon; Eliciting Survival Expectations of the Elderly in Low-Income Countries: Evidence From India. Demography 1 April 2017; 54 (2): 673–699. doi: https://doi.org/10.1007/s13524-017-0560-8",1,1.5089603151612477e-5
"Adeline Delavande, Susann Rohwedder; Differential Survival in Europe and the United States: Estimates Based on Subjective Probabilities of Survival. Demography 1 November 2011; 48 (4): 1377–1400. doi: https://doi.org/10.1007/s13524-011-0066-8",1,1.4895531746773562e-5
"Adriaan S. Kalwij, Rob J. M. Alessie, Marike G. Knoef; The Association Between Individual Income and Remaining Life Expectancy at the Age of 65 in the Netherlands. Demography 1 February 2013; 50 (1): 181–206. doi: https://doi.org/10.1007/s13524-012-0139-3",1,2.048571067855332e-5
"Adrian E. Raftery, Jennifer L. Chunn, Patrick Gerland, Hana Ševčíková; Bayesian Probabilistic Projections of Life Expectancy for All Countries. Demography 1 June 2013; 50 (3): 777–801. doi: https://doi.org/10.1007/s13524-012-0193-x",1,1.401762713309144e-5
"Adriana D. Kugler, Santosh Kumar; Preference for Boys, Family Size, and Educational Attainment in India. Demography 1 June 2017; 54 (3): 835–859. doi: https://doi.org/10.1007/s13524-017-0575-1",1,1.3152478171805178e-5
"Adrien Remund, Carlo G. Camarda, Tim Riffe; A Cause-of-Death Decomposition of Young Adult Excess Mortality. Demography 1 June 2018; 55 (3): 957–978. doi: https://doi.org/10.1007/s13524-018-0680-9",1,1.5952604447875828e-5
"Agnese Vitali, Arnstein Aassve, Trude Lappegård; Diffusion of Childbearing Within Cohabitation. Demography 1 April 2015; 52 (2): 355–377. doi: https://doi.org/10.1007/s13524-015-0380-7",1,1.398084157890675e-5
"Ai Yue, Yu Bai, Yaojiang Shi, Renfu Luo, Scott Rozelle, Alexis Medina, Sean Sylvia; Parental Migration and Early Childhood Development in Rural China. Demography 1 April 2020; 57 (2): 403–422. doi: https://doi.org/10.1007/s13524-019-00849-4",1,1.5971734091220384e-5
"Aïda Solé-Auró, Pierre-Carl Michaud, Michael Hurd, Eileen Crimmins; Disease Incidence and Mortality Among Older Americans and Europeans. Demography 1 April 2015; 52 (2): 593–611. doi: https://doi.org/10.1007/s13524-015-0372-7",1,1.5625097013923682e-5
"Alan Barreca, Olivier Deschenes, Melanie Guldi; Maybe Next Month? Temperature Shocks and Dynamic Adjustments in Birth Rates. Demography 1 August 2018; 55 (4): 1269–1293. doi: https://doi.org/10.1007/s13524-018-0690-7",1,1.2237105791654313e-5
"Alan Fernihough; Malthusian Dynamics in a Diverging Europe: Northern Italy, 1650–1881. Demography 1 February 2013; 50 (1): 311–332. doi: https://doi.org/10.1007/s13524-012-0141-9",1,1.4238663842152969e-5
"Alberto Palloni, Hiram Beltrán-Sánchez; Discrete Barker Frailty and Warped Mortality Dynamics at Older Ages. Demography 1 April 2017; 54 (2): 655–671. doi: https://doi.org/10.1007/s13524-017-0548-4",1,1.8141807235424902e-5
"Alberto Palloni, Jason R. Thomas; Estimation of Covariate Effects With Current Status Data and Differential Mortality. Demography 1 April 2013; 50 (2): 521–544. doi: https://doi.org/10.1007/s13524-012-0160-6",1,1.5620515628427145e-5
"Alessandra Trimarchi, Jan Van Bavel; Education and the Transition to Fatherhood: The Role of Selection Into Union. Demography 1 February 2017; 54 (1): 119–144. doi: https://doi.org/10.1007/s13524-016-0533-3",1,1.4678027066498081e-5
"Alexa Solazzo, Bridget Gorman, Justin Denney; Does Sexual Orientation Complicate the Relationship Between Marital Status and Gender With Self-rated Health and Cardiovascular Disease?. Demography 1 April 2020; 57 (2): 599–626. doi: https://doi.org/10.1007/s13524-020-00857-9",1,1.0636810066749393e-5
Alexandra B. Stanczyk; The Dynamics of U.S. Household Economic Circumstances Around a Birth. Demography 1 August 2020; 57 (4): 1271–1296. doi: https://doi.org/10.1007/s13524-020-00897-1,1,9.594706596129343e-6
